CHROM	START	END	gc	map
chr1	162000001	162500000	0.427207	0.975083
chr1	162500001	163000000	0.400345	0.953647
chr1	163000001	163500000	0.378597	0.97968
chr1	163500001	164000000	0.374445	0.961088
chr1	164000001	164500000	0.372763	0.952761
chr1	164500001	165000000	0.414337	0.991438
chr1	165000001	165500000	0.424273	0.977804
chr1	165500001	166000000	0.417811	0.968602
chr1	166000001	166500000	0.413923	0.932477
chr1	166500001	167000000	0.392589	0.969688
chr1	167000001	167500000	0.414133	0.993721
chr1	167500001	168000000	0.423533	0.986885
chr1	168000001	168500000	0.413385	0.974361
chr1	168500001	169000000	0.393191	0.963907
chr1	169000001	169500000	0.381455	0.966724
chr1	169500001	170000000	0.383663	0.979752
chr1	170000001	170500000	0.375011	0.939918
chr1	170500001	171000000	0.379761	0.979742
chr1	171000001	171500000	0.397361	0.969772
chr1	171500001	172000000	0.398803	0.97117
chr1	172000001	172500000	0.376831	0.948144
chr1	172500001	173000000	0.385747	0.965703
chr1	173000001	173500000	0.392845	0.958806
chr1	173500001	174000000	0.396313	0.963094
chr1	174000001	174500000	0.381237	0.950333
chr1	174500001	175000000	0.385743	0.923844
chr1	175000001	175500000	0.429579	0.975431
chr1	175500001	176000000	0.429693	0.986637
chr1	176000001	176500000	0.378961	0.945792
chr1	176500001	177000000	0.402721	0.986337
chr1	177000001	177500000	0.408659	0.978874
chr1	177500001	178000000	0.406633	0.944164
chr1	178000001	178500000	0.383959	0.975094
chr1	178500001	179000000	0.409279	0.964164
chr1	179000001	179500000	0.415951	0.974536
chr1	179500001	180000000	0.406461	0.968958
chr1	180000001	180500000	0.409555	0.974272
chr1	180500001	181000000	0.409949	0.962824
chr1	181000001	181500000	0.447419	0.973586
chr1	181500001	182000000	0.420097	0.983924
chr1	182000001	182500000	0.425553	0.985113
chr1	182500001	183000000	0.412841	0.983045
chr1	183000001	183500000	0.420001	0.985547
chr1	183500001	184000000	0.403771	0.971236
chr1	184000001	184500000	0.400603	0.97099
chr1	184500001	185000000	0.396057	0.977759
chr1	185000001	185500000	0.387075	0.957887
chr1	185500001	186000000	0.371243	0.950628
chr1	186000001	186500000	0.362449	0.971967
chr1	186500001	187000000	0.370679	0.972428
chr1	187000001	187500000	0.357291	0.973312
chr1	187500001	188000000	0.357121	0.95001
chr1	188000001	188500000	0.343739	0.986326
chr1	188500001	189000000	0.343065	0.969733
chr1	189000001	189500000	0.339353	0.954378
chr1	189500001	190000000	0.339677	0.984443
chr1	190000001	190500000	0.333085	0.98782
chr1	190500001	191000000	0.338773	0.982291
chr1	191000001	191500000	0.342647	0.972422
chr1	191500001	192000000	0.345753	0.987063
chr1	192000001	192500000	0.346677	0.975909
chr1	192500001	193000000	0.376887	0.964666
chr1	193000001	193500000	0.369115	0.983995
chr1	193500001	194000000	0.358771	0.971109
chr1	194000001	194500000	0.350811	0.961309
chr1	194500001	195000000	0.339097	0.98531
chr1	195000001	195500000	0.339369	0.983154
chr1	195500001	196000000	0.344599	0.973397
chr1	196000001	196500000	0.344667	0.964516
chr1	197000001	197500000	0.360415	0.98833
chr1	197500001	198000000	0.364127	0.953274
chr1	198000001	198500000	0.366369	0.966717
chr1	198500001	199000000	0.353639	0.993128
chr1	199000001	199500000	0.358595	0.984131
chr1	199500001	200000000	0.381993	0.965879
chr1	200000001	200500000	0.412343	0.98625
chr1	200500001	201000000	0.424485	0.983383
chr1	201000001	201500000	0.507387	0.983078
chr1	201500001	202000000	0.470037	0.987603
chr1	202000001	202500000	0.468601	0.934606
chr1	202500001	203000000	0.446359	0.944999
chr1	203000001	203500000	0.476863	0.977194
chr1	203500001	204000000	0.450613	0.982626
chr1	204000001	204500000	0.485521	0.989466
chr1	204500001	205000000	0.465469	0.995013
chr1	205000001	205500000	0.478877	0.980737
chr1	205500001	206000000	0.466855	0.982903
chr1	206500001	207000000	0.457135	0.993746
chr1	207000001	207500000	0.393207	0.9798
chr1	207500001	208000000	0.415595	0.900698
chr1	208000001	208500000	0.446931	0.995669
chr1	208500001	209000000	0.401557	0.976268
chr1	209000001	209500000	0.412991	0.978401
chr1	209500001	210000000	0.430569	0.976684
chr1	210000001	210500000	0.402643	0.981586
chr1	210500001	211000000	0.418285	0.956447
chr1	211000001	211500000	0.411031	0.958543
chr1	211500001	212000000	0.431873	0.982732
chr1	212000001	212500000	0.427313	0.974845
chr1	212500001	213000000	0.435193	0.967906
chr1	213000001	213500000	0.401287	0.966873
chr1	213500001	214000000	0.414497	0.977293
chr1	214000001	214500000	0.410281	0.995208
chr1	214500001	215000000	0.393147	0.975476
chr1	215000001	215500000	0.367619	0.978934
chr1	215500001	216000000	0.367743	0.977802
chr1	216000001	216500000	0.360835	0.969253
chr1	216500001	217000000	0.374891	0.996959
chr1	217000001	217500000	0.386155	0.985962
chr1	217500001	218000000	0.367905	0.98091
chr1	218000001	218500000	0.384969	0.977427
chr1	218500001	219000000	0.382977	0.980925
chr1	219000001	219500000	0.368475	0.981001
chr1	219500001	220000000	0.393455	0.930256
chr1	220000001	220500000	0.400201	0.980575
chr1	220500001	221000000	0.406079	0.98237
chr1	221000001	221500000	0.383173	0.979639
chr1	221500001	222000000	0.397935	0.980449
chr1	222000001	222500000	0.410997	0.927724
chr1	222500001	223000000	0.387517	0.944677
chr1	223000001	223500000	0.448513	0.9364
chr1	224000001	224500000	0.420179	0.94073
chr1	224500001	225000000	0.425905	0.977774
chr1	225000001	225500000	0.390205	0.948883
chr1	225500001	226000000	0.447523	0.979632
chr1	226000001	226500000	0.451499	0.98278
chr1	226500001	227000000	0.476539	0.976165
chr1	227000001	227500000	0.389599	0.974626
chr1	227500001	228000000	0.462475	0.941637
chr1	228000001	228500000	0.523941	0.994096
chr1	229000001	229500000	0.445145	0.98119
chr1	229500001	230000000	0.426363	0.986941
chr1	230000001	230500000	0.457559	0.988713
chr1	230500001	231000000	0.434541	0.982773
chr1	231000001	231500000	0.430877	0.983588
chr1	231500001	232000000	0.417505	0.968394
chr1	232000001	232500000	0.418101	0.970421
chr1	232500001	233000000	0.419357	0.989451
chr1	233000001	233500000	0.401983	0.988548
chr1	233500001	234000000	0.402709	0.976416
chr1	234000001	234500000	0.419259	0.981874
chr1	234500001	235000000	0.455543	0.961266
chr1	235000001	235500000	0.426995	0.972369
chr1	235500001	236000000	0.421607	0.986754
chr1	236000001	236500000	0.438541	0.98155
chr1	236500001	237000000	0.418771	0.980963
chr1	237000001	237500000	0.393369	0.966793
chr1	237500001	238000000	0.386293	0.981905
chr1	238000001	238500000	0.378629	0.979076
chr1	238500001	239000000	0.358193	0.985923
chr1	239000001	239500000	0.372789	0.990001
chr1	239500001	240000000	0.391609	0.970107
chr1	240000001	240500000	0.396477	0.989452
chr1	240500001	241000000	0.398165	0.982521
chr1	241000001	241500000	0.398119	0.982434
chr1	241500001	242000000	0.400563	0.989852
chr1	243500001	244000000	0.383381	0.978188
chr1	244000001	244500000	0.426587	0.985833
chr1	244500001	245000000	0.423921	0.973389
chr1	245000001	245500000	0.441593	0.985524
chr1	245500001	246000000	0.434667	0.968474
chr1	246000001	246500000	0.396133	0.961974
chr1	246500001	247000000	0.430603	0.962786
chr1	247000001	247500000	0.437977	0.959652
chr1	247500001	248000000	0.385923	0.92681
chr2	1	500000	0.422837	0.967574
chr2	500001	1000000	0.450213	0.973504
chr2	1000001	1500000	0.439515	0.94856
chr2	1500001	2000000	0.492167	0.968747
chr2	2000001	2500000	0.414905	0.97303
chr2	2500001	3000000	0.471575	0.986915
chr2	3000001	3500000	0.477257	0.963269
chr2	3500001	4000000	0.453493	0.968762
chr2	4000001	4500000	0.389695	0.976304
chr2	4500001	5000000	0.380973	0.965527
chr2	5000001	5500000	0.390835	0.974961
chr2	5500001	6000000	0.417041	0.966738
chr2	6000001	6500000	0.392915	0.989878
chr2	6500001	7000000	0.411449	0.993876
chr2	7000001	7500000	0.413205	0.987374
chr2	7500001	8000000	0.405293	0.987324
chr2	8000001	8500000	0.434959	0.979909
chr2	8500001	9000000	0.438487	0.984144
chr2	9000001	9500000	0.452435	0.981796
chr2	9500001	10000000	0.445871	0.978431
chr2	10000001	10500000	0.513411	0.989187
chr2	10500001	11000000	0.469237	0.979396
chr2	11000001	11500000	0.427655	0.977908
chr2	11500001	12000000	0.458909	0.977518
chr2	12000001	12500000	0.404025	0.989245
chr2	12500001	13000000	0.402693	0.96877
chr2	13000001	13500000	0.355677	0.967687
chr2	13500001	14000000	0.354861	0.952258
chr2	14000001	14500000	0.364089	0.97051
chr2	14500001	15000000	0.397593	0.960165
chr2	15000001	15500000	0.395383	0.979435
chr2	15500001	16000000	0.446851	0.981973
chr2	16000001	16500000	0.433033	0.984098
chr2	16500001	17000000	0.406103	0.969149
chr2	17000001	17500000	0.377233	0.980255
chr2	17500001	18000000	0.400581	0.976025
chr2	18000001	18500000	0.391811	0.972653
chr2	18500001	19000000	0.383103	0.977952
chr2	19000001	19500000	0.400141	0.943114
chr2	19500001	20000000	0.422945	0.986438
chr2	20000001	20500000	0.452787	0.985939
chr2	20500001	21000000	0.449631	0.972775
chr2	21000001	21500000	0.396435	0.969091
chr2	21500001	22000000	0.376685	0.979625
chr2	22000001	22500000	0.364115	0.978274
chr2	22500001	23000000	0.383107	0.97973
chr2	23000001	23500000	0.442869	0.973002
chr2	23500001	24000000	0.448957	0.975844
chr2	24000001	24500000	0.426381	0.975187
chr2	24500001	25000000	0.416261	0.979116
chr2	25000001	25500000	0.482043	0.988688
chr2	25500001	26000000	0.425731	0.973842
chr2	26000001	26500000	0.443745	0.986724
chr2	26500001	27000000	0.485157	0.9897
chr2	27000001	27500000	0.489885	0.982792
chr2	27500001	28000000	0.413605	0.978788
chr2	28000001	28500000	0.432849	0.984576
chr2	28500001	29000000	0.440351	0.991424
chr2	29000001	29500000	0.443035	0.989809
chr2	29500001	30000000	0.424713	0.982835
chr2	30000001	30500000	0.436523	0.985586
chr2	30500001	31000000	0.430101	0.960951
chr2	31000001	31500000	0.439547	0.979707
chr2	31500001	32000000	0.387241	0.95752
chr2	32000001	32500000	0.406979	0.972476
chr2	32500001	33000000	0.400019	0.981017
chr2	33000001	33500000	0.401669	0.966411
chr2	33500001	34000000	0.401165	0.980612
chr2	34000001	34500000	0.376315	0.985023
chr2	34500001	35000000	0.364555	0.948427
chr2	35000001	35500000	0.350923	0.958078
chr2	35500001	36000000	0.363287	0.963935
chr2	36000001	36500000	0.388019	0.952004
chr2	36500001	37000000	0.402917	0.981043
chr2	37000001	37500000	0.393551	0.98304
chr2	37500001	38000000	0.408071	0.969804
chr2	38000001	38500000	0.422565	0.963603
chr2	38500001	39000000	0.421433	0.985029
chr2	39000001	39500000	0.387543	0.989972
chr2	39500001	40000000	0.397993	0.969346
chr2	40000001	40500000	0.382659	0.963406
chr2	40500001	41000000	0.347617	0.984306
chr2	41000001	41500000	0.359647	0.979329
chr2	41500001	42000000	0.407749	0.970541
chr2	42000001	42500000	0.425207	0.98691
chr2	42500001	43000000	0.456121	0.972746
chr2	43000001	43500000	0.459825	0.987088
chr2	43500001	44000000	0.394393	0.968871
chr2	44000001	44500000	0.400409	0.983961
chr2	44500001	45000000	0.420319	0.982139
chr2	45000001	45500000	0.425853	0.966349
chr2	45500001	46000000	0.428379	0.993414
chr2	46000001	46500000	0.441435	0.985368
chr2	46500001	47000000	0.434861	0.98917
chr2	47000001	47500000	0.457863	0.980511
chr2	47500001	48000000	0.436215	0.981051
chr2	48000001	48500000	0.397737	0.983085
chr2	48500001	49000000	0.411443	0.964242
chr2	49000001	49500000	0.378731	0.948882
chr2	49500001	50000000	0.366155	0.985681
chr2	50000001	50500000	0.358833	0.994643
chr2	50500001	51000000	0.355841	0.993547
chr2	51000001	51500000	0.357901	0.973087
chr2	51500001	52000000	0.348555	0.965228
chr2	52000001	52500000	0.356099	0.975336
chr2	52500001	53000000	0.365125	0.979008
chr2	53000001	53500000	0.371307	0.969923
chr2	53500001	54000000	0.395625	0.979778
chr2	54000001	54500000	0.401465	0.985224
chr2	54500001	55000000	0.414783	0.99319
chr2	55000001	55500000	0.396569	0.976948
chr2	55500001	56000000	0.392693	0.951711
chr2	56000001	56500000	0.386321	0.963966
chr2	56500001	57000000	0.358981	0.948091
chr2	57000001	57500000	0.356133	0.946184
chr2	57500001	58000000	0.354385	0.968039
chr2	58000001	58500000	0.363459	0.947988
chr2	58500001	59000000	0.373599	0.992352
chr2	59000001	59500000	0.376719	0.968162
chr2	59500001	60000000	0.389065	0.979934
chr2	60000001	60500000	0.422899	0.942367
chr2	60500001	61000000	0.424695	0.989419
chr2	61000001	61500000	0.399615	0.984891
chr2	61500001	62000000	0.425237	0.984642
chr2	62000001	62500000	0.433695	0.989486
chr2	62500001	63000000	0.379199	0.940629
chr2	63000001	63500000	0.374601	0.967536
chr2	63500001	64000000	0.381505	0.965648
chr2	64000001	64500000	0.416593	0.980735
chr2	64500001	65000000	0.430145	0.984578
chr2	65000001	65500000	0.436439	0.985607
chr2	65500001	66000000	0.418863	0.971032
chr2	66000001	66500000	0.398465	0.936754
chr2	66500001	67000000	0.383129	0.95994
chr2	67000001	67500000	0.373597	0.967591
chr2	67500001	68000000	0.403917	0.97593
chr2	68000001	68500000	0.392839	0.977043
chr2	68500001	69000000	0.400087	0.965325
chr2	69000001	69500000	0.417627	0.989335
chr2	69500001	70000000	0.424031	0.98889
chr2	70000001	70500000	0.442019	0.975122
chr2	70500001	71000000	0.451789	0.97726
chr2	71000001	71500000	0.424399	0.935833
chr2	71500001	72000000	0.471671	0.98945
chr2	72000001	72500000	0.409843	0.944314
chr2	72500001	73000000	0.408039	0.980319
chr2	73000001	73500000	0.448873	0.964961
chr2	73500001	74000000	0.425345	0.914028
chr2	74000001	74500000	0.467289	0.987045
chr2	74500001	75000000	0.442375	0.975806
chr2	75000001	75500000	0.396657	0.973321
chr2	75500001	76000000	0.389807	0.984445
chr2	76000001	76500000	0.362135	0.953117
chr2	76500001	77000000	0.355675	0.926879
chr2	77000001	77500000	0.349847	0.964461
chr2	77500001	78000000	0.351925	0.935332
chr2	78000001	78500000	0.345275	0.976183
chr2	78500001	79000000	0.362957	0.975641
chr2	79000001	79500000	0.389967	0.949734
chr2	79500001	80000000	0.376999	0.989021
chr2	80000001	80500000	0.398751	0.983394
chr2	80500001	81000000	0.371669	0.984112
chr2	81000001	81500000	0.355105	0.977655
chr2	81500001	82000000	0.358599	0.970601
chr2	82000001	82500000	0.348819	0.990778
chr2	82500001	83000000	0.352937	0.983063
chr2	83000001	83500000	0.354085	0.965204
chr2	83500001	84000000	0.361379	0.965464
chr2	84000001	84500000	0.392793	0.962734
chr2	84500001	85000000	0.409879	0.972299
chr2	85000001	85500000	0.462729	0.975672
chr2	85500001	86000000	0.474051	0.981443
chr2	86000001	86500000	0.433303	0.991431
chr2	88000001	88500000	0.436851	0.983646
chr2	88500001	89000000	0.408551	0.944135
chr2	96000001	96500000	0.479425	0.90286
chr2	96500001	97000000	0.500543	0.986366
chr2	98000001	98500000	0.430447	0.97732
chr2	98500001	99000000	0.437601	0.976255
chr2	99000001	99500000	0.395705	0.962094
chr2	99500001	100000000	0.418689	0.986658
chr2	100000001	100500000	0.427669	0.95401
chr2	100500001	101000000	0.449045	0.991231
chr2	101000001	101500000	0.441165	0.97243
chr2	101500001	102000000	0.424053	0.985342
chr2	102000001	102500000	0.410299	0.9878
chr2	102500001	103000000	0.394389	0.964302
chr2	103000001	103500000	0.368623	0.981286
chr2	103500001	104000000	0.355475	0.985608
chr2	104000001	104500000	0.372415	0.990967
chr2	104500001	105000000	0.418495	0.986912
chr2	105000001	105500000	0.426677	0.974108
chr2	105500001	106000000	0.438401	0.990978
chr2	106500001	107000000	0.409543	0.973831
chr2	107000001	107500000	0.383041	0.983368
chr2	108000001	108500000	0.395585	0.965461
chr2	109000001	109500000	0.478523	0.974816
chr2	112500001	113000000	0.435407	0.965727
chr2	114000001	114500000	0.389839	0.952598
chr2	114500001	115000000	0.377439	0.98499
chr2	115000001	115500000	0.366303	0.965718
chr2	115500001	116000000	0.355179	0.975049
chr2	116000001	116500000	0.365239	0.960961
chr2	116500001	117000000	0.362093	0.973274
chr2	117000001	117500000	0.373977	0.959276
chr2	118000001	118500000	0.409103	0.971278
chr2	118500001	119000000	0.434825	0.973577
chr2	119000001	119500000	0.460179	0.981766
chr2	119500001	120000000	0.406165	0.982807
chr2	120000001	120500000	0.458483	0.968721
chr2	120500001	121000000	0.512333	0.996687
chr2	121000001	121500000	0.457065	0.987191
chr2	121500001	122000000	0.435923	0.983704
chr2	122000001	122500000	0.412479	0.950642
chr2	122500001	123000000	0.371485	0.984141
chr2	123000001	123500000	0.352995	0.978506
chr2	123500001	124000000	0.363473	0.970766
